user_id;screen_name;name;description;location;followers_count;friends_count;listed_count;favourites_count;statuses_count;verified;account_created_at;default_profile;default_profile_image;tweet_count_in_dataset;first_seen_at;last_seen_at;followers_friends_ratio;tweets_per_day_since_creation;dataset_coverage_days;tweets_per_day_in_dataset;sample_tweets;label;notes
965652865447587840;LaMfeTr3MoA5Oqu;الحاج محمد عبد الرحمن 2;مصري عروبي عاشق لمصر والامه العربيه سيساوي لايقبل اي خروف اخواني او قطري زملكاوي من سنة1959 بالمعاش;الإسماعيلية, مصر;852;116;4;48293;54733;False;2018-02-19T18:22:38;True;False;37;2018-06-14T11:05:10;2018-06-17T16:21:22;0,1362;467,8;3;12,33;RT @nesaanews: ⛔ الفرحة الإفريقية ما زالت غائبة عن #مونديال_روسيا بعد مصر و المغرب #نيجيريا تخسر بثنائية نظيفة من #كرواتيا في الجولة الأولى… ||| RT @AlMasryAlYoum: الجماهير تستعد لمباراة المكسيك وألمانيا  #Germany  #Mexico  #Russia2018 https://t.co/4y87wlm8Ap ||| RT @IbrahimsaidAdam: 😁 https://t.co/uAKUzMnunD ||| RT @alain_4u_sport: الأرجنتيني #ليونيل_ميسي يتحدث عن تعادل منتخبه أمام #أيسلندا 1-1 في الجولة الأولى من دور المجموعات لـ #كأس_العالم_2018 #… ||| RT @youm7: فيديو.. مودريتش أفضل لاعب فى لقاء كرواتيا ونيجيريا بكأس العالم  https://t.co/myNRrHHFEC #روسيا2018  #WorldCup;1;
1004414366777823232;richard30966081;richard;;Dominican Republic;62;49;2;2;2207;False;2018-06-06T17:27:00;True;False;1;2018-06-14T14:30:10;2018-06-14T14:30:10;0,7903;315,29;0;0,0;RT @RussiaBusiness: #Sheremetyevo International Airport is projected to receive two hundred planes bringing fans and players to the #WorldC…;1;
995510144317493248;Lidiane91013817;Alessandra ❤;19 years... fan of @shawnmendes, @5SOS and @TheVampsBand;Brasil;97;253;0;8937;9724;False;2018-05-13T03:44:48;True;False;1;2018-06-15T20:50:30;2018-06-15T20:50:30;2,6082;294,67;0;0,0;RT @ShawnMentosBR: LEMBRANDO QUE Nao estamos putos pela música que o Shawn fez, pelo ao contrário, nós amamos pois ele FALA PORTUGUÊS na mu…;1;
927198378194296835;Letizialapizza1;ᴘᴀʀᴋ ᴍɪɴɪᴇ;;;215;1032;1;64188;57055;False;2017-11-05T15:38:14;True;False;3;2018-06-15T11:35:45;2018-06-17T12:58:23;4,8;255,85;2;1,5;"RT @BTS_ITALIA: 📹 Messaggio di supporto dei #BTS per la Corea del Sud ai Mondiali di Calcio 2018 🇰🇷⚽ #WorldCup    Cr. gingerol95 https://t.… ||| RT @RM_Mexico: | RANDOM |   ¿ustedes están viendo el primer partido del mundial ARMY? 🇲🇽  @BTS_twt #WorldCup #RM   -wings https://t.co/CYci… ||| RT @billboard: Shawn Mendes unveiled a different version of ""In My Blood"" for Portugal's official #WorldCup song https://t.co/y9DCryMTDV ht…";1;
3317656799;RoxaMP;Roxy;I’m a harry_styles fan until the day I die . 😍😍;Davenport, FL;2363;3095;43;138804;246341;False;2015-06-10T17:43:11;True;False;2;2018-06-14T14:50:46;2018-06-17T07:57:33;1,3098;223,54;2;1,0;RT @Krowd9: This is the best video you’ll see today. School kids in Uruguay reacting to their late winner. More than a game. 😍🇺🇾 #WorldCup… ||| RT @FIFAWorldCup: Looking good, Robbie 👌  #WorldCup https://t.co/ZBd82tqXap;1;
822517413732229120;_L_o_r_i_;Lori;"@POTUS @realdonaldtrump
.#IStandWithTrump
.#Vets #BackTheBlue
F/B
@GenFlynn
@AntonioSabatoJr
@LarryEKlayman
@kevincorke
@JessieJaneDuff
@realsugarlily";God Bless The U.S.A;36287;33103;8;27414;82814;False;2017-01-20T18:53:27;True;False;1;2018-06-17T16:35:45;2018-06-17T16:35:45;0,9123;161,75;0;0,0;RT @RichardGrenell: With the US not playing, I invited our US Marines to join me in cheering on Germany! Let’s go. #WorldCup2018 https://t.…;1;
1007080862436020225;bee4ee;ً;;;3;382;0;117;287;False;2018-06-14T02:02:43;True;False;5;2018-06-16T17:20:00;2018-06-16T18:40:54;127,3333;143,5;0;0,0;RT @_jennapatton6: Then only thing Messi’s winning #WorldCup https://t.co/1YFL9e60Yh ||| RT @Real_IkennaObi: Nigeria’s #wizkid dazzles the #DolceandGabbana runway today. The #starboy of not just #Nigeria but #Africa captured the… ||| RT @thecheesefeed: #Iceland is putting a chill down the spines of the hottest football players in the world. #Messi #Ronaldo #WorldCup18 #W… ||| RT @SurajHansal: Watch this Cristiano Ronaldo's third goal against Spain. Portuguese commentary is Amazing. GOAL GOAL GOAL #Portugal @Crist… ||| RT @Fxrid_07: To all those people who are about to hate on Messi Just remember that the only reason Argentina are even in the World Cup is…;0;
3546758548;DilyaraMurzina;Murzina Dilyara;АСВ и ЦБ верните деньги предприятиям!!!;;1281;1869;22;22419;141721;False;2015-09-04T17:03:58;True;False;1;2018-06-16T16:02:07;2018-06-16T16:02:07;1,459;139,63;0;0,0;RT @leon_elk: Саранск, похоже, временно вошел в состав империи инков) https://t.co/6F7yjhuDtX;0;
1472225126;Rottie_Eatclean;ร็อตตี้ หัดกินคลีน;"นักรีทวิต
#PunBNK48";;492;628;64;39238;210310;False;2013-05-31T13:57:29;True;False;17;2018-06-14T10:09:42;2018-06-16T14:57:29;1,2764;114,17;2;8,5;RT @Sattakamol_w: เมสซี่และทีมอาร์เจนเจอนักรบไอซ์แลนด์ตั้งกำแพงยักษ์ซ้อนเข้าไป แถมยิงลูกโทษไม่ได้อีก จบเสมอ 1:1 จ้า โกลของไอซ์แลนด์โคตรเหนี… ||| RT @thai_susu: #WorldCup  🌍 สถิติการยิงประตูในการลงเล่นให้ทีมชาติ  🇵🇹 Cristiano Ronaldo: 84 ⚽  🇧🇷 Pele: 77 ⚽  🇦🇷 Lionel Messi: 64 ⚽  🇧🇷 Ron… ||| RT @FIFAWorldCup: That moment when #RUS scores the first goal of the #WorldCup and the #FIFAFanFest goes crazy! 🤪🙌 https://t.co/ZzKN2EtJ15 ||| RT @js100radio: ทีมชาติรัสเซีย ขึ้นนำ ซาอุดิอาระเบีย 3-0 จากการทำประตูของ “Artem Dzyuba” นาทีที่ 71 #WorldCup2018 #JS100Sport https://t.co/… ||| RT @goalthailand: จบครึ่งแรก #WorldCup 2018 คู่เปิดสนาม เจ้าภาพรัสเซีย #RUS ขึ้นนำ ซาอุดิอาระเบีย #KSA 2-0 https://t.co/4vFU91p8dH;0;
1005225453446148098;Lg6gcIIUgv3Oydx;ゆみ☆;;;33;67;0;1105;807;False;2018-06-08T23:09:59;True;False;2;2018-06-17T02:12:24;2018-06-17T09:16:27;2,0303;100,88;0;0,0;RT @_animalbiscuits: 2018 FIFAワールドカップ ロシア開幕!! 日本代表頑張れ!! #サッカー #サッカー日本代表  #WorldCup  #WorldCupRussia2018  #ワールドカップ2018  #ロシアW杯  #あにまるびすけっと h… ||| RT @b_ELLIS_sima: フランス戦の中継時に続いて、改めて「三好選手が個人的に注目したい選手というのはいますか？」と振られ。  「僕はやっぱり、去年まで一緒にプレーしてた大島僚太選手が。やっぱり同じチームでプレーした選手がこの舞台で戦うっていうのは、凄く見るのも楽し…;1;
